Voltage, Current, Power, Temperature, Time
   8.154,   0.077,   0.629,  22.200,7201
   8.154,   0.077,   0.629,  22.200,8302
   8.154,   0.077,   0.629,  21.700,9400
   8.154,   0.077,   0.629,  21.700,10501
   8.154,   0.077,   0.629,  21.600,11598
   8.154,   0.077,   0.629,  21.600,12699
   8.154,   0.077,   0.629,  21.400,13797
   8.154,   0.077,   0.629,  21.400,14898
   8.154,   0.077,   0.629,  21.300,15995
   8.154,   0.077,   0.627,  21.300,17117
   7.623,   0.690,   5.260,  21.200,18297
   7.616,   0.693,   5.279,  21.200,19478
   7.613,   0.694,   5.285,  21.000,20654
   7.610,   0.694,   5.283,  21.000,21834
   7.610,   0.694,   5.283,  20.900,23010
   7.607,   0.695,   5.287,  20.900,24190
   7.607,   0.695,   5.287,  20.800,25366
   7.610,   0.694,   5.281,  20.800,26547
   7.610,   0.694,   5.283,  20.700,27722
   7.607,   0.695,   5.289,  20.700,28903
   7.604,   0.695,   5.286,  20.500,30077
   7.604,   0.695,   5.286,  20.500,31260
   7.604,   0.695,   5.286,  20.400,32441
   7.604,   0.695,   5.286,  20.400,33620
   7.604,   0.695,   5.285,  20.300,34797
   7.601,   0.695,   5.284,  20.300,35977
   7.601,   0.695,   5.284,  20.200,37153
   7.598,   0.696,   5.289,  20.200,38333
   7.598,   0.696,   5.289,  20.000,39510
   7.598,   0.696,   5.289,  20.000,40689
   7.594,   0.696,   5.287,  19.900,41866
   7.594,   0.696,   5.287,  19.900,43045
   7.594,   0.696,   5.287,  19.800,44222
   7.591,   0.696,   5.285,  19.800,45402
   7.591,   0.696,   5.286,  19.600,46583
   7.591,   0.696,   5.286,  19.600,47764
   7.591,   0.696,   5.286,  19.500,48941
   7.588,   0.696,   5.284,  19.500,50119
   7.588,   0.696,   5.284,  19.400,51295
   7.588,   0.696,   5.284,  19.400,52473
   7.588,   0.696,   5.284,  19.300,53649
   7.588,   0.696,   5.285,  19.300,54827
   7.585,   0.697,   5.289,  19.100,56004
   7.585,   0.697,   5.290,  19.100,57184
   7.585,   0.697,   5.289,  19.000,58361
   7.582,   0.697,   5.288,  19.000,59540
   7.582,   0.697,   5.287,  18.800,60723
   7.582,   0.697,   5.287,  18.800,61902
   7.582,   0.697,   5.287,  18.600,63079
   7.579,   0.697,   5.284,  18.600,64259
   7.579,   0.697,   5.284,  18.500,65435
   7.579,   0.697,   5.286,  18.500,66616
   7.579,   0.697,   5.286,  18.400,67792
   7.576,   0.697,   5.283,  18.400,68972
   7.576,   0.699,   5.292,  18.200,70149
   7.573,   0.699,   5.290,  18.200,71328
   7.573,   0.698,   5.288,  18.000,72505
   7.573,   0.699,   5.290,  18.000,73684
   7.573,   0.699,   5.290,  17.900,74866
   7.573,   0.699,   5.290,  17.900,76047
   7.573,   0.699,   5.290,  17.700,77222
   7.573,   0.699,   5.290,  17.700,78403
   7.573,   0.699,   5.290,  17.600,79579
   7.573,   0.698,   5.288,  17.600,80759
   7.569,   0.699,   5.287,  17.400,81935
   7.569,   0.699,   5.287,  17.400,83116
   7.569,   0.699,   5.289,  17.300,84291
   7.569,   0.699,   5.289,  17.300,85472
   7.566,   0.699,   5.286,  17.100,86647
   7.566,   0.699,   5.286,  17.100,87828
   7.566,   0.699,   5.286,  17.000,89010
   7.566,   0.699,   5.288,  17.000,90189
   7.566,   0.699,   5.286,  16.800,91365
   7.566,   0.699,   5.286,  16.800,92546
   7.563,   0.700,   5.291,  16.700,93722
   7.563,   0.700,   5.291,  16.700,94903
   7.563,   0.700,   5.292,  16.500,96079
   7.563,   0.700,   5.292,  16.500,97259
   7.560,   0.700,   5.290,  16.400,98445
   7.560,   0.700,   5.290,  16.400,99624
   7.560,   0.700,   5.290,  16.200,100801
   7.560,   0.700,   5.289,  16.200,101981
   7.560,   0.700,   5.290,  16.100,103162
   7.560,   0.700,   5.290,  16.100,104341
   7.557,   0.700,   5.288,  15.900,105519
   7.557,   0.700,   5.289,  15.900,106697
   7.557,   0.700,   5.289,  15.700,107875
   7.554,   0.700,   5.286,  15.700,109054
   7.554,   0.701,   5.294,  15.600,110231
   7.554,   0.701,   5.294,  15.600,111412
   7.554,   0.701,   5.294,  15.400,112588
   7.554,   0.701,   5.294,  15.400,113769
   7.551,   0.701,   5.292,  15.300,114946
   7.551,   0.701,   5.292,  15.300,116131
   7.551,   0.701,   5.292,  15.100,117307
   7.551,   0.701,   5.292,  15.100,118489
   7.551,   0.701,   5.293,  15.000,119665
   7.548,   0.701,   5.290,  15.000,120845
   7.548,   0.701,   5.291,  14.800,122021
   7.548,   0.701,   5.291,  14.800,123201
   7.548,   0.701,   5.292,  14.700,124378
   7.548,   0.701,   5.292,  14.700,125557
   7.544,   0.701,   5.290,  14.500,126734
   7.544,   0.702,   5.296,  14.500,127913
   7.544,   0.702,   5.296,  14.400,129090
   7.541,   0.702,   5.294,  14.400,130276
   7.541,   0.702,   5.294,  14.300,131451
   7.541,   0.702,   5.294,  14.300,132632
   7.541,   0.702,   5.294,  14.100,133808
